"LicAge","VehAge","Gender","MariStat","SocioCateg","VehUsage","DrivAge","HasKmLimit","BonusMalus","VehBody","VehPrice","VehEngine","VehEnergy","VehMaxSpeed","VehClass","y","RiskVar","Garage"
454,"0","Male","Other","CSP50","Professional",56,0,50,"sport utility vehicle","P","direct injection overpowered","diesel","200-220 km/h","M2","BAD",17,"Private garage"
163,"2","Female","Other","CSP60","Private",63,0,85,"sedan","G","injection","regular","150-160 km/h","B","GOOD",16,"None"
332,"1","Male","Other","CSP55","Professional",46,0,50,"sedan","H","direct injection overpowered","diesel","160-170 km/h","B","GOOD",18,"Private garage"
447,"0","Male","Alone","CSP48","Professional",58,0,50,"sedan","K","direct injection overpowered","diesel","180-190 km/h","M1","GOOD",18,"None"
408,"8-9","Female","Other","CSP50","Private+trip to office",54,0,54,"other microvan","J","injection","regular","180-190 km/h","M1","GOOD",17,"None"
222,"6-7","Female","Other","CSP50","Private+trip to office",56,0,50,"sedan","H","injection","regular","170-180 km/h","M1","GOOD",9,"None"
316,"0","Female","Other","CSP50","Private",45,0,60,"sedan","H","injection","regular","180-190 km/h","B","GOOD",16,"None"
284,"5","Female","Other","CSP50","Private+trip to office",43,0,50,"sedan","E","injection","regular","150-160 km/h","B","GOOD",20,"None"
459,"6-7","Male","Other","CSP50","Private",56,1,50,"sedan","F","injection","regular","150-160 km/h","B","GOOD",18,"None"
244,"3","Female","Other","CSP55","Private+trip to office",38,0,50,"sedan","H","injection","regular","170-180 km/h","M1","GOOD",5,"None"
145,"6-7","Female","Other","CSP50","Private+trip to office",30,0,67,"sedan","H","injection","regular","170-180 km/h","B","GOOD",14,"None"
466,"4","Male","Other","CSP50","Private",59,0,50,"cabriolet","Q","injection overpowered","regular","220+ km/h","H","GOOD",4,"Collective garage"
301,"4","Male","Other","CSP60","Private",81,0,50,"other microvan","P","injection","regular","200-220 km/h","H","GOOD",6,"None"
393,"4","Female","Other","CSP55","Private",50,0,50,"sedan","L","direct injection overpowered","diesel","190-200 km/h","M1","BAD",11,"None"
145,"2","Female","Other","CSP50","Private+trip to office",31,0,51,"sedan","I","injection","regular","200-220 km/h","M1","GOOD",11,"None"
241,"8-9","Male","Other","CSP50","Private",38,1,50,"sedan","J","injection","regular","170-180 km/h","M2","GOOD",15,"Private garage"
370,"5","Male","Other","CSP46","Professional",49,0,50,"station wagon","H","injection","diesel","140-150 km/h","M1","GOOD",17,"None"
457,"1","Female","Other","CSP50","Private",59,0,50,"sedan","F","injection","regular","150-160 km/h","B","GOOD",9,"None"
